speciesName	ln(snoutVentLength)	ln(relativeHindlimbLength)	ln(numScalesAcrossSnout)
vinosus	NA	NA	NA
vittigerus	4.094344562	-1.167297326	2.302585093
wampuensis	NA	NA	NA
wattsi	4.060443011	-1.28951074	1.791759469
websteri	4.007333185	-1.352205386	1.791759469
wellbornae	3.912023005	-1.386294361	2.014903021
wermuthi	NA	NA	NA
whitemani	4.204692619	-1.18201875	2.197224577
williamsmittermeierorum	4.189654742	-1.566878298	1.609437912
woodi	4.521788577	-1.184802888	2.48490665
yoroensis	3.663561646	-1.166434885	2.397895273
Basiliscus basiliscus	5.480638923	-1.078809661	1.945910149
Basiliscus galeritus 	5.480638923	-1.021651248	2.079441542
Basiliscus plumifrons	5.480638923	-1.021651248	2.079441542
Basiliscus vittatus	5.416100402	-1.021651248	1.945910149
Corytophanes cristatus	4.787491743	-1.049822124	1.609437912
Corytophanes hernandezi	4.787491743	-0.867500568	1.791759469
Corytophanes percarinuatus	4.605170186	-1.049822124	1.791759469
zeus	3.761200116	-1.078809661	2.302585093
Laemanctus longipes	5.010635294	-0.891598119	2.197224577
Laemanctus serratus	5.247024072	-0.867500568	1.098612289
